f_img_in,best_score,f_img_out,faces_detected,subdetector_match
videos/guy2girl2/out/0083.png,1.80413514753,image_processed/videos/guy2girl2/out/0083.png,1,0.0
videos/guy2girl2/out/0084.png,1.74763137479,image_processed/videos/guy2girl2/out/0084.png,1,0.0
videos/guy2girl2/out/0085.png,1.47428924222,image_processed/videos/guy2girl2/out/0085.png,1,0.0
videos/guy2girl2/out/0086.png,1.35236407865,image_processed/videos/guy2girl2/out/0086.png,1,1.0
videos/guy2girl2/out/0087.png,1.60154296506,image_processed/videos/guy2girl2/out/0087.png,1,1.0
videos/guy2girl2/out/0088.png,2.32325555433,image_processed/videos/guy2girl2/out/0088.png,1,1.0
videos/guy2girl2/out/0089.png,2.19117213834,image_processed/videos/guy2girl2/out/0089.png,1,1.0
videos/guy2girl2/out/0090.png,1.03153497358,image_processed/videos/guy2girl2/out/0090.png,1,0.0
videos/guy2girl2/out/0091.png,0.282162968112,image_processed/videos/guy2girl2/out/0091.png,1,0.0
videos/guy2girl2/out/0092.png,0.601746860935,image_processed/videos/guy2girl2/out/0092.png,1,0.0
videos/guy2girl2/out/0093.png,0.655978266193,image_processed/videos/guy2girl2/out/0093.png,1,0.0
videos/guy2girl2/out/0094.png,0.370937887622,image_processed/videos/guy2girl2/out/0094.png,1,0.0
videos/guy2girl2/out/0095.png,0.260633293582,image_processed/videos/guy2girl2/out/0095.png,1,0.0
videos/guy2girl2/out/0096.png,0.0371699966921,image_processed/videos/guy2girl2/out/0096.png,1,0.0
videos/guy2girl2/out/0097.png,,image_processed/videos/guy2girl2/out/0097.png,0,
videos/guy2girl2/out/0098.png,,image_processed/videos/guy2girl2/out/0098.png,0,
videos/guy2girl2/out/0099.png,0.00494581837786,image_processed/videos/guy2girl2/out/0099.png,1,0.0
videos/guy2girl2/out/0100.png,0.423944775058,image_processed/videos/guy2girl2/out/0100.png,1,0.0
videos/guy2girl2/out/0101.png,,image_processed/videos/guy2girl2/out/0101.png,0,
videos/guy2girl2/out/0102.png,,image_processed/videos/guy2girl2/out/0102.png,0,
videos/guy2girl2/out/0103.png,,image_processed/videos/guy2girl2/out/0103.png,0,
videos/guy2girl2/out/0104.png,,image_processed/videos/guy2girl2/out/0104.png,0,
videos/guy2girl2/out/0105.png,,image_processed/videos/guy2girl2/out/0105.png,0,
videos/guy2girl2/out/0106.png,0.221789900257,image_processed/videos/guy2girl2/out/0106.png,1,0.0
videos/guy2girl2/out/0107.png,0.294905964328,image_processed/videos/guy2girl2/out/0107.png,1,0.0
videos/guy2girl2/out/0108.png,0.609671894504,image_processed/videos/guy2girl2/out/0108.png,1,0.0
videos/guy2girl2/out/0109.png,0.549218241168,image_processed/videos/guy2girl2/out/0109.png,1,0.0
videos/guy2girl2/out/0110.png,0.570205990268,image_processed/videos/guy2girl2/out/0110.png,1,0.0
videos/guy2girl2/out/0111.png,0.861803833438,image_processed/videos/guy2girl2/out/0111.png,1,0.0
videos/guy2girl2/out/0112.png,0.618558231784,image_processed/videos/guy2girl2/out/0112.png,1,0.0
videos/guy2girl2/out/0113.png,0.645877663089,image_processed/videos/guy2girl2/out/0113.png,1,0.0
videos/guy2girl2/out/0114.png,0.906954590274,image_processed/videos/guy2girl2/out/0114.png,1,0.0
videos/guy2girl2/out/0115.png,0.708731476261,image_processed/videos/guy2girl2/out/0115.png,1,0.0
videos/guy2girl2/out/0116.png,0.613188091709,image_processed/videos/guy2girl2/out/0116.png,1,0.0
videos/guy2girl2/out/0117.png,1.03572827954,image_processed/videos/guy2girl2/out/0117.png,1,0.0
videos/guy2girl2/out/0118.png,0.933218780948,image_processed/videos/guy2girl2/out/0118.png,1,0.0
videos/guy2girl2/out/0119.png,0.887939754917,image_processed/videos/guy2girl2/out/0119.png,1,0.0
videos/guy2girl2/out/0120.png,0.805479351474,image_processed/videos/guy2girl2/out/0120.png,1,0.0
videos/guy2girl2/out/0121.png,0.945853058292,image_processed/videos/guy2girl2/out/0121.png,1,0.0
videos/guy2girl2/out/0122.png,0.914205852939,image_processed/videos/guy2girl2/out/0122.png,1,0.0
videos/guy2girl2/out/0123.png,0.708910528613,image_processed/videos/guy2girl2/out/0123.png,1,0.0
videos/guy2girl2/out/0124.png,0.421309534503,image_processed/videos/guy2girl2/out/0124.png,1,0.0
videos/guy2girl2/out/0125.png,0.489991013004,image_processed/videos/guy2girl2/out/0125.png,1,0.0
videos/guy2girl2/out/0126.png,0.589395109607,image_processed/videos/guy2girl2/out/0126.png,1,0.0
videos/guy2girl2/out/0127.png,0.563677135898,image_processed/videos/guy2girl2/out/0127.png,1,0.0
videos/guy2girl2/out/0128.png,0.50114828725,image_processed/videos/guy2girl2/out/0128.png,1,0.0
videos/guy2girl2/out/0129.png,0.563601080371,image_processed/videos/guy2girl2/out/0129.png,1,0.0
videos/guy2girl2/out/0130.png,0.837477032138,image_processed/videos/guy2girl2/out/0130.png,1,0.0
videos/guy2girl2/out/0131.png,0.894618812992,image_processed/videos/guy2girl2/out/0131.png,1,0.0
videos/guy2girl2/out/0132.png,1.02061826368,image_processed/videos/guy2girl2/out/0132.png,1,0.0
videos/guy2girl2/out/0133.png,0.919018570377,image_processed/videos/guy2girl2/out/0133.png,1,0.0
videos/guy2girl2/out/0134.png,0.955357376529,image_processed/videos/guy2girl2/out/0134.png,1,0.0
videos/guy2girl2/out/0135.png,0.941446606113,image_processed/videos/guy2girl2/out/0135.png,1,0.0
videos/guy2girl2/out/0136.png,0.29213697095,image_processed/videos/guy2girl2/out/0136.png,1,0.0
videos/guy2girl2/out/0137.png,0.262891832782,image_processed/videos/guy2girl2/out/0137.png,1,0.0
videos/guy2girl2/out/0138.png,0.406167808963,image_processed/videos/guy2girl2/out/0138.png,1,0.0
videos/guy2girl2/out/0139.png,0.611111942722,image_processed/videos/guy2girl2/out/0139.png,1,0.0
videos/guy2girl2/out/0140.png,0.793760601474,image_processed/videos/guy2girl2/out/0140.png,1,0.0
videos/guy2girl2/out/0141.png,1.01713115354,image_processed/videos/guy2girl2/out/0141.png,1,0.0
videos/guy2girl2/out/0142.png,0.459396187259,image_processed/videos/guy2girl2/out/0142.png,1,0.0
videos/guy2girl2/out/0143.png,,image_processed/videos/guy2girl2/out/0143.png,0,
videos/guy2girl2/out/0144.png,,image_processed/videos/guy2girl2/out/0144.png,0,
videos/guy2girl2/out/0145.png,,image_processed/videos/guy2girl2/out/0145.png,0,
videos/guy2girl2/out/0146.png,,image_processed/videos/guy2girl2/out/0146.png,0,
videos/guy2girl2/out/0147.png,,image_processed/videos/guy2girl2/out/0147.png,0,
videos/guy2girl2/out/0148.png,,image_processed/videos/guy2girl2/out/0148.png,0,
videos/guy2girl2/out/0149.png,,image_processed/videos/guy2girl2/out/0149.png,0,
videos/guy2girl2/out/0150.png,1.03561193128,image_processed/videos/guy2girl2/out/0150.png,1,0.0
videos/guy2girl2/out/0151.png,1.02645093579,image_processed/videos/guy2girl2/out/0151.png,1,0.0
videos/guy2girl2/out/0152.png,1.19029266019,image_processed/videos/guy2girl2/out/0152.png,1,0.0
videos/guy2girl2/out/0153.png,1.33796006818,image_processed/videos/guy2girl2/out/0153.png,1,0.0
videos/guy2girl2/out/0154.png,1.17685968061,image_processed/videos/guy2girl2/out/0154.png,1,0.0
videos/guy2girl2/out/0155.png,0.967469517185,image_processed/videos/guy2girl2/out/0155.png,1,0.0
videos/guy2girl2/out/0156.png,1.11198935853,image_processed/videos/guy2girl2/out/0156.png,1,2.0
videos/guy2girl2/out/0157.png,1.01928649293,image_processed/videos/guy2girl2/out/0157.png,1,2.0
videos/guy2girl2/out/0158.png,1.84226451265,image_processed/videos/guy2girl2/out/0158.png,1,2.0
videos/guy2girl2/out/0159.png,1.90551314699,image_processed/videos/guy2girl2/out/0159.png,1,2.0
videos/guy2girl2/out/0160.png,1.97326264726,image_processed/videos/guy2girl2/out/0160.png,1,2.0
videos/guy2girl2/out/0161.png,1.00148183484,image_processed/videos/guy2girl2/out/0161.png,1,0.0
videos/guy2girl2/out/0162.png,0.988130394412,image_processed/videos/guy2girl2/out/0162.png,1,0.0
videos/guy2girl2/out/0163.png,0.853203598453,image_processed/videos/guy2girl2/out/0163.png,1,0.0
videos/guy2girl2/out/0164.png,0.531979624225,image_processed/videos/guy2girl2/out/0164.png,1,0.0
videos/guy2girl2/out/0165.png,0.66828805585,image_processed/videos/guy2girl2/out/0165.png,1,0.0
videos/guy2girl2/out/0166.png,0.884601417972,image_processed/videos/guy2girl2/out/0166.png,1,0.0
videos/guy2girl2/out/0167.png,0.39415771146,image_processed/videos/guy2girl2/out/0167.png,1,0.0
videos/guy2girl2/out/0168.png,0.793269459201,image_processed/videos/guy2girl2/out/0168.png,1,0.0
videos/guy2girl2/out/0169.png,0.0535391010774,image_processed/videos/guy2girl2/out/0169.png,1,0.0
videos/guy2girl2/out/0170.png,0.203866068317,image_processed/videos/guy2girl2/out/0170.png,1,0.0
videos/guy2girl2/out/0171.png,0.230735126926,image_processed/videos/guy2girl2/out/0171.png,1,0.0
videos/guy2girl2/out/0172.png,0.412692610217,image_processed/videos/guy2girl2/out/0172.png,1,0.0
videos/guy2girl2/out/0173.png,0.332419697238,image_processed/videos/guy2girl2/out/0173.png,1,0.0
