f_img_in,best_score,f_img_out,faces_detected,subdetector_match
videos/jenna_avocado/out/0019.png,1.78708011289,image_processed/videos/jenna_avocado/out/0019.png,1,0.0
videos/jenna_avocado/out/0020.png,1.5806315579,image_processed/videos/jenna_avocado/out/0020.png,1,0.0
videos/jenna_avocado/out/0021.png,1.26567346234,image_processed/videos/jenna_avocado/out/0021.png,1,0.0
videos/jenna_avocado/out/0022.png,1.30772573133,image_processed/videos/jenna_avocado/out/0022.png,1,0.0
videos/jenna_avocado/out/0023.png,1.18140238427,image_processed/videos/jenna_avocado/out/0023.png,1,3.0
videos/jenna_avocado/out/0024.png,1.72341519971,image_processed/videos/jenna_avocado/out/0024.png,1,0.0
videos/jenna_avocado/out/0025.png,1.89019900937,image_processed/videos/jenna_avocado/out/0025.png,1,0.0
videos/jenna_avocado/out/0026.png,1.29159909864,image_processed/videos/jenna_avocado/out/0026.png,1,0.0
videos/jenna_avocado/out/0027.png,1.45578179704,image_processed/videos/jenna_avocado/out/0027.png,1,2.0
videos/jenna_avocado/out/0028.png,1.4457710423,image_processed/videos/jenna_avocado/out/0028.png,1,0.0
videos/jenna_avocado/out/0029.png,1.47367459912,image_processed/videos/jenna_avocado/out/0029.png,1,0.0
videos/jenna_avocado/out/0030.png,1.3450515904,image_processed/videos/jenna_avocado/out/0030.png,1,0.0
videos/jenna_avocado/out/0031.png,1.43031865735,image_processed/videos/jenna_avocado/out/0031.png,1,0.0
videos/jenna_avocado/out/0032.png,1.40799361844,image_processed/videos/jenna_avocado/out/0032.png,1,0.0
videos/jenna_avocado/out/0033.png,1.89066487928,image_processed/videos/jenna_avocado/out/0033.png,1,0.0
videos/jenna_avocado/out/0034.png,2.18504029889,image_processed/videos/jenna_avocado/out/0034.png,1,0.0
videos/jenna_avocado/out/0035.png,2.26600486417,image_processed/videos/jenna_avocado/out/0035.png,1,0.0
videos/jenna_avocado/out/0036.png,2.4926198517,image_processed/videos/jenna_avocado/out/0036.png,1,2.0
videos/jenna_avocado/out/0037.png,1.4857433476,image_processed/videos/jenna_avocado/out/0037.png,1,0.0
videos/jenna_avocado/out/0038.png,1.57336265226,image_processed/videos/jenna_avocado/out/0038.png,1,0.0
videos/jenna_avocado/out/0039.png,1.51752692838,image_processed/videos/jenna_avocado/out/0039.png,1,0.0
videos/jenna_avocado/out/0040.png,1.25539285321,image_processed/videos/jenna_avocado/out/0040.png,1,0.0
videos/jenna_avocado/out/0041.png,0.776700321628,image_processed/videos/jenna_avocado/out/0041.png,1,0.0
videos/jenna_avocado/out/0042.png,0.951487366153,image_processed/videos/jenna_avocado/out/0042.png,1,0.0
videos/jenna_avocado/out/0043.png,1.86041814466,image_processed/videos/jenna_avocado/out/0043.png,1,0.0
videos/jenna_avocado/out/0044.png,1.7318275963,image_processed/videos/jenna_avocado/out/0044.png,1,2.0
videos/jenna_avocado/out/0045.png,1.3044775166,image_processed/videos/jenna_avocado/out/0045.png,1,0.0
videos/jenna_avocado/out/0046.png,2.07761127134,image_processed/videos/jenna_avocado/out/0046.png,1,0.0
videos/jenna_avocado/out/0047.png,2.21969876634,image_processed/videos/jenna_avocado/out/0047.png,1,2.0
videos/jenna_avocado/out/0048.png,1.6987913643,image_processed/videos/jenna_avocado/out/0048.png,1,2.0
videos/jenna_avocado/out/0049.png,2.14633304258,image_processed/videos/jenna_avocado/out/0049.png,1,0.0
videos/jenna_avocado/out/0050.png,1.87592492448,image_processed/videos/jenna_avocado/out/0050.png,1,2.0
videos/jenna_avocado/out/0051.png,1.53752881665,image_processed/videos/jenna_avocado/out/0051.png,1,0.0
videos/jenna_avocado/out/0052.png,1.89479047437,image_processed/videos/jenna_avocado/out/0052.png,1,0.0
videos/jenna_avocado/out/0053.png,1.89989263196,image_processed/videos/jenna_avocado/out/0053.png,1,0.0
videos/jenna_avocado/out/0054.png,1.58422691007,image_processed/videos/jenna_avocado/out/0054.png,1,0.0
videos/jenna_avocado/out/0055.png,1.1767393937,image_processed/videos/jenna_avocado/out/0055.png,1,3.0
videos/jenna_avocado/out/0056.png,1.72364932675,image_processed/videos/jenna_avocado/out/0056.png,1,0.0
videos/jenna_avocado/out/0057.png,1.16650993009,image_processed/videos/jenna_avocado/out/0057.png,1,0.0
videos/jenna_avocado/out/0058.png,1.81257945676,image_processed/videos/jenna_avocado/out/0058.png,1,0.0
videos/jenna_avocado/out/0059.png,0.987396065189,image_processed/videos/jenna_avocado/out/0059.png,1,0.0
videos/jenna_avocado/out/0060.png,,image_processed/videos/jenna_avocado/out/0060.png,0,
videos/jenna_avocado/out/0061.png,,image_processed/videos/jenna_avocado/out/0061.png,0,
videos/jenna_avocado/out/0062.png,,image_processed/videos/jenna_avocado/out/0062.png,0,
videos/jenna_avocado/out/0063.png,1.48203740465,image_processed/videos/jenna_avocado/out/0063.png,1,2.0
videos/jenna_avocado/out/0064.png,1.31304055829,image_processed/videos/jenna_avocado/out/0064.png,1,0.0
videos/jenna_avocado/out/0065.png,1.19095883714,image_processed/videos/jenna_avocado/out/0065.png,1,2.0
videos/jenna_avocado/out/0066.png,1.23531931542,image_processed/videos/jenna_avocado/out/0066.png,1,3.0
videos/jenna_avocado/out/0067.png,1.47619516034,image_processed/videos/jenna_avocado/out/0067.png,1,0.0
videos/jenna_avocado/out/0068.png,0.762200056537,image_processed/videos/jenna_avocado/out/0068.png,1,3.0
videos/jenna_avocado/out/0069.png,1.43446380277,image_processed/videos/jenna_avocado/out/0069.png,1,0.0
videos/jenna_avocado/out/0070.png,1.59513026853,image_processed/videos/jenna_avocado/out/0070.png,1,0.0
videos/jenna_avocado/out/0071.png,0.95654378282,image_processed/videos/jenna_avocado/out/0071.png,1,2.0
videos/jenna_avocado/out/0072.png,1.5331085362,image_processed/videos/jenna_avocado/out/0072.png,1,0.0
videos/jenna_avocado/out/0073.png,1.42552867528,image_processed/videos/jenna_avocado/out/0073.png,1,4.0
videos/jenna_avocado/out/0074.png,1.13171926137,image_processed/videos/jenna_avocado/out/0074.png,1,4.0
videos/jenna_avocado/out/0075.png,1.08769240972,image_processed/videos/jenna_avocado/out/0075.png,2,4.0
videos/jenna_avocado/out/0076.png,1.49104085561,image_processed/videos/jenna_avocado/out/0076.png,1,4.0
videos/jenna_avocado/out/0077.png,0.93855968114,image_processed/videos/jenna_avocado/out/0077.png,1,4.0
videos/jenna_avocado/out/0078.png,1.19347110387,image_processed/videos/jenna_avocado/out/0078.png,1,4.0
videos/jenna_avocado/out/0079.png,0.813903480731,image_processed/videos/jenna_avocado/out/0079.png,1,4.0
videos/jenna_avocado/out/0080.png,1.08326083799,image_processed/videos/jenna_avocado/out/0080.png,1,0.0
videos/jenna_avocado/out/0081.png,1.85586578031,image_processed/videos/jenna_avocado/out/0081.png,1,0.0
videos/jenna_avocado/out/0082.png,2.42362290998,image_processed/videos/jenna_avocado/out/0082.png,1,0.0
videos/jenna_avocado/out/0083.png,1.3239625134,image_processed/videos/jenna_avocado/out/0083.png,1,0.0
videos/jenna_avocado/out/0084.png,2.41342574735,image_processed/videos/jenna_avocado/out/0084.png,1,0.0
videos/jenna_avocado/out/0085.png,2.05618363996,image_processed/videos/jenna_avocado/out/0085.png,1,0.0
videos/jenna_avocado/out/0086.png,2.07646161695,image_processed/videos/jenna_avocado/out/0086.png,1,0.0
videos/jenna_avocado/out/0087.png,1.74563790906,image_processed/videos/jenna_avocado/out/0087.png,1,1.0
videos/jenna_avocado/out/0088.png,1.29866582532,image_processed/videos/jenna_avocado/out/0088.png,1,0.0
videos/jenna_avocado/out/0089.png,0.927985969974,image_processed/videos/jenna_avocado/out/0089.png,1,0.0
videos/jenna_avocado/out/0090.png,1.13062256478,image_processed/videos/jenna_avocado/out/0090.png,1,3.0
videos/jenna_avocado/out/0091.png,1.18653518338,image_processed/videos/jenna_avocado/out/0091.png,1,0.0
videos/jenna_avocado/out/0092.png,1.48149854322,image_processed/videos/jenna_avocado/out/0092.png,1,0.0
videos/jenna_avocado/out/0093.png,1.92372066159,image_processed/videos/jenna_avocado/out/0093.png,1,0.0
videos/jenna_avocado/out/0094.png,1.32973367353,image_processed/videos/jenna_avocado/out/0094.png,1,0.0
videos/jenna_avocado/out/0095.png,1.44824252473,image_processed/videos/jenna_avocado/out/0095.png,1,2.0
videos/jenna_avocado/out/0096.png,2.3780501877,image_processed/videos/jenna_avocado/out/0096.png,1,2.0
videos/jenna_avocado/out/0097.png,2.40729508745,image_processed/videos/jenna_avocado/out/0097.png,1,2.0
videos/jenna_avocado/out/0098.png,2.00868398328,image_processed/videos/jenna_avocado/out/0098.png,1,0.0
videos/jenna_avocado/out/0099.png,1.62550956388,image_processed/videos/jenna_avocado/out/0099.png,1,0.0
videos/jenna_avocado/out/0100.png,1.97923169481,image_processed/videos/jenna_avocado/out/0100.png,1,2.0
videos/jenna_avocado/out/0101.png,2.00203162809,image_processed/videos/jenna_avocado/out/0101.png,1,0.0
videos/jenna_avocado/out/0102.png,1.88928872724,image_processed/videos/jenna_avocado/out/0102.png,1,0.0
videos/jenna_avocado/out/0103.png,2.27034885068,image_processed/videos/jenna_avocado/out/0103.png,1,0.0
videos/jenna_avocado/out/0104.png,1.28397065778,image_processed/videos/jenna_avocado/out/0104.png,1,0.0
videos/jenna_avocado/out/0105.png,2.23750764508,image_processed/videos/jenna_avocado/out/0105.png,1,0.0
videos/jenna_avocado/out/0106.png,1.46451121946,image_processed/videos/jenna_avocado/out/0106.png,1,0.0
videos/jenna_avocado/out/0107.png,1.26601618431,image_processed/videos/jenna_avocado/out/0107.png,1,3.0
videos/jenna_avocado/out/0108.png,1.31356412549,image_processed/videos/jenna_avocado/out/0108.png,1,0.0
videos/jenna_avocado/out/0109.png,1.33689290662,image_processed/videos/jenna_avocado/out/0109.png,1,0.0
videos/jenna_avocado/out/0110.png,1.47377854962,image_processed/videos/jenna_avocado/out/0110.png,1,0.0
videos/jenna_avocado/out/0111.png,1.57794458051,image_processed/videos/jenna_avocado/out/0111.png,1,0.0
